ELID первой запись диапазона (по списку 4602 экспортированных из eLIBRARY.RU),ELID последней записи диапазона (по списку 4602 экспортированных из eLIBRARY.RU),Число записей в диапазоне,Комментарий для скринеров,Чистое время сокращенного первичного скрининга (только по заголовкам и без проставления шага) ПВЖ в минутах и секундах,Чистое время сокращенного первичного скрининга (только по заголовкам и без проставления шага) ПВЖ в секундах
32742119,32561840,147,"Соответствует странице 10 в PortoDB.",04:38.59,279
23141733,32749959,147,"Соответствует странице 9 в PortoDB.",03:52.37,233
23607527,23151833,147,"Соответствует странице 8 в PortoDB.",03:35.73,216
24181155,23604598,147,"Соответствует странице 7 в PortoDB.",07:20.16,441
25246709,24180594,147,"Соответствует странице 6 в PortoDB.",06:03.34,364
25862826,25246684,147,"Соответствует странице 5 в PortoDB.",04:13.57,253
25862826,32561840,882,"Всего со страницы 5 по страницу 10 в PortoDB.",29:44.76,1785
25862826,32561840,882,"Mean",04:57.67,298
25862826,32561840,882,"SD",01:27.34,88
25862826,32561840,882,"95% CI Lower",03:26.01,207
25862826,32561840,882,"95% CI Upper",06:29.33,390
25862826,32561840,882,"Minimum",03:35.73,216
25862826,32561840,882,"Median",04:26.00,266
25862826,32561840,882,"Maximum",07:20.16,441
